production_id,machine_id,product_id,production_datetime,shift,planned_units,produced_units,defective_units
PR01198,M002,P005,2025-12-10 00:45:00,C,830,693,6
PR01199,M019,P011,2025-02-24 10:00:00,C,597,526,6
PR01200,M016,P003,2025-01-28 22:15:00,A,828,574,26
PR01201,M020,P012,2025-12-12 20:15:00,A,608,559,28
PR01202,M004,P004,2025-02-28 02:00:00,A,456,347,4
PR01203,M006,P014,2025-02-23 15:00:00,A,817,736,20
PR01204,M001,P003,2025-10-07 08:45:00,A,973,923,27
PR01205,M004,P010,2025-12-03 07:15:00,B,823,774,16
PR01206,M015,P007,2025-07-08 21:30:00,B,700,590,29
PR01207,M020,P008,2025-03-17 00:30:00,A,768,551,4
PR01208,M012,P009,2025-07-01 04:45:00,C,769,660,39
PR01209,M011,P008,2025-04-18 11:45:00,C,825,594,26
PR01210,M016,P007,2025-03-13 08:30:00,B,703,496,25
PR01211,M011,P010,2025-11-07 21:15:00,C,889,816,16
PR01212,M006,P004,2025-06-28 18:45:00,A,369,269,14
PR01213,M008,P002,2025-12-07 03:45:00,A,995,893,44
PR01214,M003,P008,2025-07-16 13:00:00,B,363,243,3
PR01215,M019,P009,2025-11-07 20:00:00,A,478,389,23
PR01216,M006,P007,2025-04-11 08:45:00,C,748,689,12
PR01217,M001,P006,2025-04-09 02:00:00,B,944,1013,13
PR01218,M017,P008,2025-10-18 17:00:00,A,648,515,23
PR01219,M003,P008,2025-04-17 18:45:00,B,812,655,8
PR01220,M010,P002,2025-11-17 12:00:00,A,882,630,30
PR01221,M009,P007,2025-09-13 07:00:00,C,915,901,19
PR01222,M017,P015,2025-07-03 02:15:00,C,594,453,17
PR01223,M009,P011,2025-09-14 09:45:00,A,933,685,21
PR01224,M002,P003,2025-01-17 10:45:00,A,567,433,23
PR01225,M019,P015,2025-10-08 23:30:00,C,979,1064,52
PR01226,M020,P015,2025-12-26 01:30:00,A,372,411,16
PR01227,M012,P007,2025-10-10 15:15:00,B,577,598,10
PR01228,M007,P009,2025-06-05 07:00:00,C,356,285,14
PR01229,M014,P009,2025-07-14 21:00:00,A,865,747,9
PR01230,M007,P006,2025-03-01 14:00:00,B,930,1021,26
PR01231,M018,P010,2025-01-30 07:15:00,A,394,375,20
PR01232,M006,P005,2025-01-08 23:15:00,A,358,325,4
PR01233,M003,P005,2025-06-10 11:15:00,C,599,418,17
PR01234,M012,P013,2025-04-16 15:30:00,C,525,493,11
PR01235,M012,P015,2025-05-30 20:15:00,B,839,855,9
PR01236,M017,P004,2025-12-28 19:45:00,B,586,478,26
PR01237,M015,P011,2025-10-11 06:00:00,B,681,670,12
PR01238,M010,P014,2025-02-28 00:45:00,A,334,264,10
PR01239,M013,P003,2025-01-31 08:45:00,C,807,558,10
PR01240,M012,P015,2025-08-09 17:00:00,A,976,835,29
PR01241,M014,P013,2025-11-08 10:30:00,C,905,778,30
PR01242,M018,P008,2025-01-30 03:45:00,B,994,828,49
PR01243,M001,P005,2025-10-21 23:30:00,C,466,389,7
PR01244,M002,P010,2025-05-21 02:15:00,B,855,729,27
PR01245,M011,P014,2025-07-05 08:30:00,B,968,965,35
PR01246,M012,P008,2025-04-02 14:45:00,C,317,267,8
PR01247,M003,P008,2025-10-12 06:45:00,A,359,399,14
PR01248,M005,P014,2025-05-13 08:30:00,C,806,653,26
PR01249,M011,P001,2025-12-02 01:15:00,C,417,415,12
PR01250,M012,P009,2025-04-27 01:30:00,C,563,447,23
PR01251,M007,P006,2025-01-23 19:15:00,C,658,482,4
PR01252,M005,P001,2025-07-10 21:45:00,B,373,354,19
PR01253,M001,P003,2025-11-07 11:30:00,B,717,689,15
PR01254,M011,P009,2025-01-23 09:15:00,C,905,719,28
PR01255,M003,P002,2025-09-18 18:30:00,A,520,401,5
PR01256,M017,P013,2025-10-17 16:45:00,A,851,812,42
PR01257,M008,P013,2025-11-07 15:45:00,B,624,525,10
PR01258,M014,P006,2025-04-29 14:30:00,A,418,380,11
PR01259,M019,P014,2025-06-30 17:00:00,A,670,610,17
PR01260,M009,P013,2025-10-03 07:45:00,B,990,898,11
PR01261,M007,P015,2025-06-24 10:00:00,A,383,312,10
PR01262,M016,P012,2025-08-21 00:15:00,A,423,368,17
PR01263,M013,P015,2025-03-06 01:45:00,B,324,332,17
PR01264,M011,P015,2025-07-01 04:45:00,B,870,701,15
PR01265,M015,P012,2025-10-30 19:00:00,B,346,334,18
PR01266,M017,P002,2025-05-29 15:15:00,A,487,437,16
PR01267,M019,P005,2025-01-04 18:30:00,A,990,917,30
PR01268,M017,P010,2025-04-29 09:45:00,C,649,504,17
PR01269,M007,P007,2025-08-07 09:30:00,C,693,587,29
PR01270,M010,P005,2025-05-23 18:30:00,B,401,356,5
PR01271,M008,P011,2025-08-13 07:15:00,B,595,627,7
PR01272,M001,P010,2025-03-14 03:15:00,A,865,932,43
PR01273,M019,P007,2025-10-04 17:15:00,C,306,289,6
PR01274,M004,P008,2025-08-16 16:15:00,B,764,601,7
PR01275,M003,P012,2025-09-10 08:00:00,A,440,472,12
PR01276,M017,P011,2025-02-08 10:15:00,A,819,671,20
PR01277,M018,P011,2025-12-28 22:30:00,C,339,354,8
PR01278,M008,P011,2025-01-19 20:00:00,A,551,398,10
PR01279,M003,P009,2025-05-16 15:15:00,C,796,803,13
PR01280,M006,P001,2025-04-20 00:45:00,B,368,302,12
PR01281,M006,P015,2025-12-19 08:45:00,B,946,854,35
PR01282,M012,P009,2025-04-29 09:45:00,B,801,776,21
PR01283,M015,P006,2025-06-01 03:15:00,A,415,490,14
PR01284,M004,P006,2025-12-06 13:00:00,C,480,390,9
PR01285,M001,P005,2025-07-23 22:15:00,B,795,844,36
PR01286,M011,P007,2025-09-17 06:45:00,B,362,298,7
PR01287,M002,P005,2025-08-15 13:45:00,B,566,587,14
PR01288,M020,P010,2025-07-29 07:15:00,B,848,730,29
PR01289,M018,P002,2025-03-08 19:00:00,C,321,370,20
PR01290,M018,P007,2025-01-26 16:15:00,C,670,641,38
PR01291,M002,P014,2025-04-28 09:15:00,A,682,585,33
PR01292,M001,P004,2025-09-27 03:45:00,C,796,641,13
PR01293,M009,P014,2025-12-19 07:00:00,A,578,585,16
PR01294,M020,P015,2025-02-09 02:45:00,A,320,201,10
PR01295,M001,P005,2025-02-18 23:45:00,B,498,547,16
PR01296,M013,P005,2025-08-23 06:00:00,B,570,562,21
PR01297,M013,P001,2025-02-17 07:45:00,B,874,705,23
PR01298,M013,P013,2025-07-21 11:00:00,A,763,664,39
PR01299,M003,P002,2025-08-17 11:45:00,C,876,658,26
PR01300,M020,P014,2025-03-28 06:45:00,B,907,753,10
PR01301,M005,P001,2025-09-25 23:15:00,B,360,358,8
PR01302,M018,P013,2025-12-19 18:45:00,B,305,279,5
PR01303,M003,P015,2025-10-07 15:30:00,A,967,739,26
PR01304,M017,P012,2025-08-06 22:00:00,A,684,533,3
PR01305,M016,P003,2025-03-27 06:45:00,C,416,286,14
PR01306,M010,P012,2025-10-08 13:45:00,C,309,265,8
PR01307,M007,P013,2025-05-19 16:30:00,C,929,947,20
PR01308,M005,P003,2025-07-10 16:30:00,C,783,686,39
PR01309,M007,P004,2025-08-31 00:30:00,C,726,461,2
PR01310,M020,P003,2025-02-18 17:45:00,A,638,502,20
PR01311,M014,P010,2025-06-29 20:15:00,C,653,643,32
PR01312,M007,P002,2025-06-06 11:45:00,C,560,504,20
PR01313,M013,P006,2025-03-20 03:15:00,C,586,443,15
PR01314,M006,P001,2025-10-31 19:30:00,A,930,886,27
PR01315,M002,P003,2025-04-21 02:15:00,C,446,369,20
PR01316,M008,P009,2025-08-14 13:45:00,B,634,504,24
PR01317,M007,P003,2025-07-13 12:45:00,C,663,509,27
PR01318,M009,P011,2025-05-23 22:15:00,A,747,683,22
PR01319,M014,P004,2025-10-13 13:30:00,C,482,325,14
PR01320,M001,P004,2025-10-14 06:45:00,B,683,565,26
PR01321,M017,P015,2025-07-04 16:15:00,A,305,248,14
PR01322,M002,P012,2025-11-07 08:00:00,C,962,856,27
PR01323,M015,P008,2025-05-10 08:00:00,A,885,952,57
PR01324,M005,P012,2025-08-31 23:00:00,C,339,228,9
PR01325,M011,P002,2025-04-01 04:00:00,C,729,771,34
PR01326,M011,P015,2025-05-23 06:00:00,C,640,680,35
PR01327,M002,P002,2025-03-28 18:30:00,A,828,582,24
PR01328,M020,P004,2025-09-14 04:30:00,C,385,270,2
PR01329,M012,P002,2025-09-16 13:15:00,B,950,941,19
PR01330,M003,P003,2025-08-27 18:00:00,C,879,925,9
PR01331,M012,P008,2025-02-14 05:30:00,A,905,877,5
PR01332,M010,P003,2025-05-07 09:15:00,B,435,365,9
PR01333,M010,P005,2025-03-13 18:30:00,C,723,607,9
PR01334,M017,P008,2025-08-14 08:00:00,C,801,746,19
PR01335,M012,P011,2025-12-18 05:00:00,C,899,749,33
PR01336,M009,P002,2025-05-28 06:30:00,C,815,743,34
PR01337,M016,P003,2025-04-18 08:15:00,B,778,670,27
PR01338,M002,P006,2025-10-28 10:30:00,C,877,731,27
PR01339,M006,P015,2025-02-23 20:30:00,B,308,208,11
PR01340,M020,P008,2025-06-06 05:45:00,C,859,681,4
PR01341,M016,P011,2025-10-22 22:45:00,B,708,633,24
PR01342,M009,P010,2025-06-03 01:15:00,B,819,678,19
PR01343,M017,P004,2025-10-31 00:15:00,C,824,628,27
PR01344,M005,P013,2025-03-13 04:30:00,B,355,424,9
PR01345,M003,P003,2025-08-23 12:15:00,A,771,599,13
PR01346,M012,P001,2025-04-15 13:00:00,B,550,484,17
PR01347,M013,P014,2025-03-23 11:00:00,B,782,699,22
PR01348,M005,P007,2025-12-28 07:00:00,B,696,548,26
PR01349,M019,P001,2025-05-25 21:45:00,A,911,822,38
PR01350,M001,P010,2025-11-08 05:15:00,C,677,593,19
PR01351,M013,P011,2025-07-23 02:15:00,A,441,425,4
PR01352,M002,P005,2025-08-06 04:30:00,B,618,539,27
PR01353,M004,P011,2025-04-02 05:45:00,B,998,954,23
PR01354,M015,P001,2025-01-07 05:30:00,B,431,439,11
PR01355,M020,P013,2025-12-01 21:45:00,B,732,721,29
PR01356,M004,P013,2025-09-15 11:45:00,A,643,684,40
PR01357,M009,P004,2025-08-06 17:45:00,C,990,826,36
PR01358,M004,P014,2025-11-11 23:45:00,B,745,553,11
PR01359,M001,P009,2025-08-24 11:00:00,B,913,882,19
PR01360,M002,P010,2025-04-02 09:30:00,A,727,560,13
PR01361,M005,P011,2025-07-02 23:00:00,B,844,832,8
PR01362,M017,P010,2025-08-09 08:30:00,B,769,759,14
PR01363,M004,P007,2025-01-21 02:30:00,C,681,456,23
PR01364,M009,P012,2025-02-10 10:30:00,C,732,597,9
PR01365,M008,P012,2025-02-10 13:00:00,A,496,507,18
PR01366,M006,P005,2025-07-11 18:45:00,C,520,515,15
PR01367,M014,P011,2025-12-10 01:45:00,A,485,463,3
PR01368,M004,P004,2025-05-21 08:45:00,A,913,953,38
PR01369,M019,P007,2025-01-10 22:30:00,C,526,378,19
PR01370,M011,P006,2025-11-01 10:45:00,B,787,884,5
PR01371,M002,P011,2025-08-16 04:45:00,C,810,628,12
PR01372,M017,P006,2025-02-10 20:45:00,B,874,890,9
PR01373,M019,P007,2025-05-30 10:45:00,B,990,905,36
PR01374,M013,P010,2025-01-12 09:45:00,A,540,500,17
PR01375,M013,P009,2025-02-19 12:15:00,B,516,536,7
PR01376,M004,P011,2025-06-30 06:45:00,C,913,740,35
PR01377,M015,P005,2025-11-21 20:30:00,B,814,689,22
PR01378,M015,P011,2025-03-22 05:45:00,A,595,473,24
PR01379,M020,P004,2025-12-16 03:45:00,A,894,889,36
PR01380,M001,P006,2025-11-09 19:00:00,C,913,839,23
PR01381,M013,P009,2025-05-08 05:45:00,C,1000,713,38
PR01382,M016,P015,2025-04-09 05:45:00,C,677,706,13
PR01383,M020,P008,2025-04-13 10:15:00,A,600,491,15
PR01384,M006,P004,2025-04-01 14:00:00,B,918,947,50
PR01385,M003,P013,2025-02-05 00:00:00,B,998,1039,54
PR01386,M001,P008,2025-05-14 22:00:00,B,921,792,27
PR01387,M014,P013,2025-01-31 09:45:00,A,340,281,11
PR01388,M006,P006,2025-02-23 04:30:00,B,893,844,9
PR01389,M003,P008,2025-12-03 10:15:00,C,548,555,22
PR01390,M015,P012,2025-09-09 07:30:00,B,650,552,16
PR01391,M012,P012,2025-10-18 08:00:00,B,443,337,9
PR01392,M015,P011,2025-06-07 22:15:00,B,881,859,27
PR01393,M007,P010,2025-03-21 23:15:00,B,450,440,8
PR01394,M017,P007,2025-03-17 18:00:00,B,565,460,15
PR01395,M016,P011,2025-11-13 05:30:00,A,959,763,20
PR01396,M003,P006,2025-09-26 15:15:00,A,795,805,5
PR01397,M012,P008,2025-06-08 06:15:00,B,453,382,16
PR01398,M012,P011,2025-10-19 20:00:00,A,836,811,37
PR01399,M018,P014,2025-07-24 20:00:00,A,637,563,29
PR01400,M008,P004,2025-01-29 14:15:00,C,550,535,24
PR01401,M003,P015,2025-08-22 05:00:00,A,923,743,34
PR01402,M019,P008,2025-09-25 09:00:00,B,512,467,17
PR01403,M016,P004,2025-02-20 17:00:00,A,626,665,19
PR01404,M019,P007,2025-10-05 18:15:00,A,912,834,30
PR01405,M014,P010,2025-08-15 20:15:00,B,903,883,4
PR01406,M010,P005,2025-09-10 20:15:00,C,636,549,18
PR01407,M006,P008,2025-05-08 10:30:00,A,994,903,53
PR01408,M014,P011,2025-06-13 16:45:00,B,807,664,6
PR01409,M008,P004,2025-02-18 14:30:00,B,953,932,10
PR01410,M020,P004,2025-09-14 09:30:00,C,843,730,31
PR01411,M006,P006,2025-12-11 04:30:00,C,460,346,5
PR01412,M010,P006,2025-08-31 20:45:00,A,575,474,9
PR01413,M013,P001,2025-06-06 10:30:00,B,622,517,14
PR01414,M007,P004,2025-07-01 20:15:00,C,767,780,5
PR01415,M007,P013,2025-05-12 09:30:00,A,324,279,10
PR01416,M011,P012,2025-11-13 16:45:00,B,580,410,8
PR01417,M020,P010,2025-10-31 15:00:00,B,975,892,17
PR01418,M015,P015,2025-01-31 03:00:00,B,954,791,27
PR01419,M005,P010,2025-02-26 15:15:00,B,375,320,4
PR01420,M009,P009,2025-10-21 06:00:00,C,748,569,21
PR01421,M011,P014,2025-05-30 22:00:00,B,443,498,22
PR01422,M012,P006,2025-08-17 23:15:00,A,488,433,8
PR01423,M014,P007,2025-12-13 22:30:00,B,561,543,22
PR01424,M002,P009,2025-01-25 16:00:00,B,824,696,25
PR01425,M018,P013,2025-10-03 15:30:00,A,888,759,8
PR01426,M007,P013,2025-09-30 05:00:00,A,887,939,36
PR01427,M003,P003,2025-12-17 13:30:00,C,776,727,30
PR01428,M014,P015,2025-10-22 10:45:00,A,840,802,37
PR01429,M005,P005,2025-07-25 18:30:00,A,306,285,6
PR01430,M019,P015,2025-10-27 21:30:00,B,845,751,31
PR01431,M002,P013,2025-10-23 04:15:00,A,451,362,14
PR01432,M007,P004,2025-10-04 11:00:00,B,635,664,37
PR01433,M015,P002,2025-03-25 13:30:00,B,538,575,7
PR01434,M007,P004,2025-01-14 14:15:00,B,689,540,16
PR01435,M007,P002,2025-10-30 03:00:00,B,479,395,6
PR01436,M017,P006,2025-11-06 11:30:00,B,725,552,33
PR01437,M004,P006,2025-05-11 16:00:00,B,767,530,31
PR01438,M003,P011,2025-06-08 02:45:00,C,967,826,50
PR01439,M006,P010,2025-07-19 15:00:00,A,581,579,30
PR01440,M002,P010,2025-03-07 16:15:00,A,443,423,20
PR01441,M005,P012,2025-12-05 09:30:00,C,932,822,46
PR01442,M013,P011,2025-04-03 11:00:00,B,466,359,6
PR01443,M005,P015,2025-05-16 19:30:00,B,329,294,2
PR01444,M004,P001,2025-01-24 17:45:00,B,912,958,14
PR01445,M018,P008,2025-04-25 02:45:00,A,367,180,9
PR01446,M009,P003,2025-11-05 20:00:00,B,618,566,31
PR01447,M019,P004,2025-12-03 17:30:00,A,928,925,47
PR01448,M004,P012,2025-04-23 16:15:00,B,446,381,4
PR01449,M015,P011,2025-05-25 19:00:00,C,555,465,11
PR01450,M005,P010,2025-09-24 16:30:00,C,434,411,11
PR01451,M002,P014,2025-01-18 23:45:00,A,947,705,9
PR01452,M012,P004,2025-03-24 12:30:00,C,311,309,10
PR01453,M017,P015,2025-10-23 12:45:00,B,519,455,21
PR01454,M018,P008,2025-06-22 05:30:00,C,649,693,22
PR01455,M018,P003,2025-02-19 21:30:00,A,831,684,4
PR01456,M012,P005,2025-04-27 14:00:00,B,423,352,7
PR01457,M005,P014,2025-08-12 17:00:00,C,816,672,22
PR01458,M019,P014,2025-04-24 00:15:00,C,662,536,26
PR01459,M004,P011,2025-09-26 01:30:00,A,852,725,19
PR01460,M014,P014,2025-11-22 20:15:00,A,455,402,23
PR01461,M011,P003,2025-05-23 01:45:00,C,603,483,15
PR01462,M007,P015,2025-06-03 00:00:00,C,557,538,22
PR01463,M008,P007,2025-11-10 19:00:00,A,360,383,5
PR01464,M003,P004,2025-11-27 13:45:00,B,905,746,38
PR01465,M011,P001,2025-03-13 12:00:00,C,899,975,41
PR01466,M016,P004,2025-03-02 16:30:00,C,836,664,26
PR01467,M011,P015,2025-08-13 09:00:00,B,854,830,49
PR01468,M006,P015,2025-01-21 12:30:00,C,415,396,11
PR01469,M012,P004,2025-12-21 15:30:00,C,530,530,31
PR01470,M009,P014,2025-09-11 22:45:00,C,731,571,6
PR01471,M016,P004,2025-05-22 08:30:00,C,729,700,4
PR01472,M016,P009,2025-09-11 07:45:00,C,981,833,50
PR01473,M019,P002,2025-10-17 12:45:00,A,343,269,15
PR01474,M015,P014,2025-05-03 11:45:00,B,703,655,5
PR01475,M001,P004,2025-10-21 16:00:00,C,708,675,28
PR01476,M001,P012,2025-04-03 00:30:00,B,401,287,8
PR01477,M015,P012,2025-05-10 11:30:00,C,660,707,5
PR01478,M011,P012,2025-05-15 05:15:00,B,871,907,32
PR01479,M008,P006,2025-06-28 05:45:00,B,391,286,15
PR01480,M006,P013,2025-02-21 23:00:00,B,954,788,31
PR01481,M006,P006,2025-04-14 08:45:00,A,659,524,7
PR01482,M018,P009,2025-02-27 06:30:00,A,818,808,29
PR01483,M009,P003,2025-07-23 19:00:00,C,503,361,15
PR01484,M010,P010,2025-06-24 17:30:00,C,706,467,12
PR01485,M001,P008,2025-02-12 10:15:00,A,753,767,46
PR01486,M005,P001,2025-12-22 07:15:00,B,531,487,24
PR01487,M017,P010,2025-05-05 00:45:00,B,749,608,17
PR01488,M009,P007,2025-11-18 18:45:00,B,567,538,32
PR01489,M008,P013,2025-07-06 07:30:00,C,853,742,39
PR01490,M004,P013,2025-10-24 04:00:00,C,819,794,27
PR01491,M002,P008,2025-04-27 23:30:00,C,960,1039,21
PR01492,M018,P008,2025-08-13 15:45:00,C,366,367,5
PR01493,M009,P010,2025-11-29 01:30:00,B,788,845,7
PR01494,M013,P004,2025-01-15 22:45:00,C,741,764,43
PR01495,M018,P011,2025-08-20 09:30:00,C,638,525,14
PR01496,M003,P010,2025-06-11 00:00:00,A,666,581,28
PR01497,M006,P001,2025-09-29 13:15:00,C,499,357,5
PR01498,M019,P012,2025-09-11 23:00:00,C,639,445,25
PR01499,M014,P015,2025-07-18 13:45:00,B,785,596,15
PR01500,M003,P006,2025-09-13 02:15:00,B,566,502,9
PR01501,M004,P003,2025-02-18 16:30:00,A,320,373,16
PR01502,M019,P010,2025-09-28 00:00:00,B,634,561,4
PR01503,M005,P010,2025-02-05 05:15:00,B,951,907,22
PR01504,M015,P001,2025-10-21 05:45:00,C,481,457,23
PR01505,M006,P015,2025-01-20 17:00:00,A,619,695,26
PR01506,M018,P014,2025-09-12 06:15:00,B,927,1008,57
PR01507,M013,P001,2025-08-18 03:00:00,B,646,578,18
PR01508,M017,P010,2025-01-31 15:00:00,C,832,695,29
PR01509,M010,P011,2025-12-26 17:45:00,B,859,814,38
PR01510,M011,P009,2025-07-26 13:45:00,B,384,363,12
PR01511,M017,P014,2025-11-09 12:30:00,A,809,879,38
PR01512,M006,P011,2025-04-07 02:30:00,B,901,832,30
PR01513,M014,P012,2025-01-25 17:00:00,C,348,347,12
PR01514,M004,P008,2025-09-26 05:30:00,A,997,990,55
PR01515,M002,P015,2025-04-24 22:30:00,B,374,320,12
PR01516,M011,P003,2025-04-16 22:00:00,B,597,432,8
PR01517,M014,P011,2025-04-27 11:45:00,C,345,228,4
PR01518,M009,P007,2025-12-30 20:30:00,C,509,510,21
PR01519,M020,P001,2025-01-06 13:45:00,C,686,615,20
PR01520,M003,P011,2025-12-21 12:00:00,A,759,544,23
PR01521,M013,P005,2025-03-01 05:45:00,C,368,250,5
PR01522,M007,P002,2025-05-27 09:30:00,C,411,483,13
PR01523,M013,P003,2025-09-12 06:15:00,A,830,879,15
PR01524,M005,P008,2025-12-22 02:15:00,C,746,706,21
PR01525,M009,P015,2025-01-22 21:15:00,A,515,511,7
PR01526,M010,P009,2025-06-29 14:15:00,A,959,712,18
PR01527,M008,P010,2025-04-26 05:15:00,C,643,550,5
PR01528,M004,P011,2025-05-28 17:15:00,A,446,436,10
PR01529,M004,P011,2025-07-29 16:00:00,A,933,909,6
PR01530,M019,P002,2025-01-04 12:00:00,A,876,619,16
PR01531,M010,P011,2025-11-18 01:00:00,C,320,375,15
PR01532,M015,P008,2025-07-18 14:15:00,A,999,852,16
PR01533,M009,P015,2025-08-21 17:30:00,A,529,394,23
PR01534,M015,P007,2025-07-08 23:00:00,C,742,733,9
PR01535,M014,P008,2025-10-05 07:45:00,C,428,387,11
PR01536,M013,P003,2025-08-20 14:45:00,C,774,725,17
PR01537,M020,P006,2025-09-29 06:15:00,B,522,432,19
PR01538,M016,P002,2025-10-08 13:30:00,C,959,761,20
PR01539,M013,P015,2025-11-30 14:30:00,C,938,824,44
PR01540,M006,P005,2025-08-10 05:45:00,C,324,344,9
PR01541,M015,P004,2025-12-15 18:15:00,C,956,831,23
PR01542,M002,P011,2025-03-08 15:30:00,A,925,954,37
PR01543,M012,P004,2025-02-03 02:00:00,C,308,345,3
PR01544,M019,P015,2025-03-19 06:30:00,B,367,289,16
PR01545,M006,P007,2025-09-01 10:15:00,A,596,501,27
PR01546,M009,P012,2025-09-30 19:45:00,A,462,407,16
PR01547,M016,P003,2025-02-28 21:15:00,A,755,640,20
PR01548,M001,P008,2025-10-28 22:30:00,C,751,717,11
PR01549,M013,P015,2025-10-18 11:30:00,A,387,419,9
PR01550,M003,P006,2025-02-26 21:15:00,C,949,801,35
PR01551,M001,P008,2025-09-11 00:45:00,B,473,402,24
PR01552,M011,P001,2025-03-27 01:15:00,B,613,541,32
PR01553,M019,P001,2025-12-03 14:00:00,B,640,654,26
PR01554,M009,P012,2025-07-14 06:45:00,B,689,663,29
PR01555,M007,P008,2025-06-21 11:45:00,B,716,720,14
PR01556,M011,P014,2025-05-17 02:45:00,C,987,765,32
PR01557,M008,P013,2025-02-28 00:15:00,A,409,336,12
PR01558,M005,P010,2025-02-08 00:00:00,C,649,682,27
PR01559,M003,P003,2025-08-24 20:30:00,A,980,782,12
PR01560,M013,P006,2025-02-16 00:45:00,C,538,466,21
PR01561,M019,P014,2025-09-29 06:45:00,A,502,435,13
PR01562,M005,P015,2025-08-15 05:00:00,C,381,300,5
PR01563,M013,P011,2025-10-22 06:00:00,C,377,331,6
PR01564,M009,P014,2025-06-01 19:45:00,B,818,730,12
PR01565,M002,P002,2025-05-04 16:00:00,B,970,998,14
PR01566,M015,P001,2025-06-26 23:00:00,C,934,901,26
PR01567,M003,P010,2025-12-12 02:30:00,B,902,946,36
PR01568,M016,P006,2025-06-13 14:30:00,C,791,647,14
PR01569,M013,P008,2025-04-08 07:15:00,B,343,271,6
PR01570,M005,P013,2025-08-20 04:15:00,B,694,643,4
PR01571,M005,P010,2025-07-15 20:15:00,A,709,545,30
PR01572,M007,P001,2025-04-22 03:00:00,B,700,649,13
PR01573,M014,P014,2025-07-20 05:30:00,A,862,724,23
PR01574,M011,P012,2025-09-07 21:00:00,B,661,749,7
PR01575,M010,P011,2025-11-08 09:15:00,A,540,465,15
PR01576,M020,P003,2025-06-23 20:30:00,C,1000,944,36
PR01577,M014,P004,2025-05-25 10:30:00,A,431,380,11
PR01578,M016,P013,2025-06-17 22:15:00,B,620,586,32
PR01579,M008,P012,2025-10-12 10:30:00,C,499,581,21
PR01580,M011,P009,2025-11-09 07:15:00,A,800,725,39
PR01581,M009,P002,2025-07-16 04:30:00,B,383,276,16
PR01582,M016,P004,2025-07-19 06:30:00,A,446,397,19
PR01583,M011,P008,2025-11-21 00:30:00,B,664,656,13
PR01584,M020,P002,2025-11-06 17:15:00,B,961,759,42
PR01585,M001,P005,2025-02-01 23:15:00,B,836,830,23
PR01586,M014,P002,2025-04-15 04:30:00,B,325,298,12
PR01587,M009,P008,2025-08-27 04:45:00,B,940,827,18
PR01588,M001,P002,2025-04-12 22:45:00,A,591,492,6
PR01589,M014,P011,2025-06-17 17:45:00,B,677,539,3
PR01590,M010,P006,2025-07-22 05:30:00,C,927,917,6
PR01591,M006,P012,2025-10-19 01:00:00,A,435,408,4
PR01592,M003,P008,2025-02-17 11:30:00,B,646,475,11
PR01593,M007,P008,2025-10-07 01:45:00,A,957,946,9
PR01594,M001,P001,2025-03-01 08:15:00,C,545,362,15
PR01595,M005,P009,2025-12-24 07:45:00,B,343,257,15
PR01596,M001,P011,2025-06-15 12:45:00,C,319,203,4
PR01597,M012,P012,2025-12-23 13:00:00,A,341,295,9
PR01598,M020,P005,2025-10-25 11:15:00,B,706,568,20
PR01599,M009,P007,2025-10-12 11:45:00,A,463,473,7
PR01600,M017,P013,2025-11-30 09:45:00,B,329,263,15
PR01601,M019,P012,2025-04-15 05:00:00,C,342,358,6
PR01602,M002,P011,2025-06-02 22:15:00,C,907,971,24
PR01603,M011,P004,2025-04-28 18:30:00,B,522,463,7
PR01604,M006,P015,2025-07-18 23:30:00,B,768,848,32
PR01605,M001,P010,2025-09-03 17:30:00,A,983,1012,54
PR01606,M006,P002,2025-01-06 08:00:00,A,610,585,26
PR01607,M010,P013,2025-07-08 06:15:00,A,733,704,29
PR01608,M007,P002,2025-03-03 09:15:00,C,569,524,29
PR01609,M019,P012,2025-12-16 00:45:00,C,478,369,19
PR01610,M005,P004,2025-05-20 08:00:00,A,876,795,36
PR01611,M001,P010,2025-07-23 21:45:00,A,330,206,3
PR01612,M009,P001,2025-12-03 02:30:00,C,588,592,10
PR01613,M014,P009,2025-05-20 06:15:00,C,758,777,28
PR01614,M015,P014,2025-09-08 07:00:00,B,593,504,19
PR01615,M012,P007,2025-10-06 05:30:00,A,974,1011,23
PR01616,M005,P014,2025-10-25 12:30:00,C,778,792,37
PR01617,M012,P011,2025-09-11 21:45:00,B,668,735,9
PR01618,M005,P010,2025-08-19 17:15:00,B,343,303,17
PR01619,M003,P014,2025-10-04 20:15:00,B,887,693,30
PR01620,M018,P011,2025-02-27 16:00:00,A,832,608,3
PR01621,M013,P009,2025-04-27 21:30:00,C,800,603,21
PR01622,M008,P011,2025-07-21 07:30:00,C,717,632,38
PR01623,M003,P012,2025-08-21 04:15:00,B,300,374,12
PR01624,M007,P001,2025-05-04 12:30:00,A,514,458,5
PR01625,M004,P007,2025-01-16 09:00:00,B,512,405,8
PR01626,M007,P005,2025-12-05 12:00:00,B,911,741,20
PR01627,M011,P006,2025-11-14 18:45:00,A,950,934,6
PR01628,M014,P012,2025-05-11 22:45:00,C,692,696,33
PR01629,M009,P009,2025-11-14 11:45:00,A,327,338,3
PR01630,M020,P008,2025-02-12 07:00:00,A,765,642,15
PR01631,M001,P015,2025-06-15 09:45:00,C,521,534,20
PR01632,M018,P011,2025-08-16 02:15:00,C,774,664,24
PR01633,M010,P010,2025-01-25 08:00:00,B,829,767,11
